,Ob,Age,Overall,Potential,Special,International Reputation,Weak Foot,Skill Moves,Height,Weight,Positions Average,Exponential Term,Quadratic Term,Top 20 Clubs,Average Club Wages
0,12746,26,60,60,1549,1.0,4.0,2.0,71.0,168.0,54.0,9.313225746154785,3600,0.0,0.0
1,12747,21,64,74,1755,1.0,3.0,3.0,70.0,152.0,63.34615384615385,22.737367544323206,4096,0.0,0.0
2,12748,19,55,72,1207,1.0,3.0,2.0,71.0,157.0,40.26923076923077,3.0517578125,3025,0.0,0.0
3,12749,27,72,73,1534,1.0,2.0,2.0,73.0,185.0,56.84615384615385,135.52527156068805,5184,0.0,0.0
4,12750,32,74,74,1470,2.0,3.0,2.0,74.0,176.0,54.0,211.75823681357508,5476,0.0,21603.0
5,12751,26,66,69,1561,1.0,2.0,2.0,69.0,154.0,58.80769230769231,35.52713678800501,4356,0.0,0.0
6,12752,24,72,79,1962,1.0,3.0,3.0,72.0,185.0,71.57692307692308,135.52527156068805,5184,0.0,0.0
7,12753,21,60,69,1588,1.0,3.0,3.0,71.0,154.0,59.23076923076923,9.313225746154785,3600,0.0,0.0
8,12754,28,71,71,1840,1.0,3.0,3.0,71.0,176.0,68.76923076923077,108.42021724855044,5041,0.0,0.0
9,12755,21,62,68,1580,1.0,3.0,2.0,72.0,165.0,58.30769230769231,14.551915228366852,3844,0.0,13866.0
10,12756,20,62,78,1580,1.0,2.0,3.0,70.0,161.0,57.46153846153846,14.551915228366852,3844,0.0,0.0
11,12757,23,65,71,1800,1.0,3.0,2.0,69.0,154.0,64.42307692307692,28.421709430404007,4225,0.0,0.0
12,12758,27,81,82,2028,2.0,3.0,4.0,73.0,185.0,70.88461538461539,1009.7419586828951,6561,0.0,32337.0
13,12759,29,75,75,2015,1.0,2.0,3.0,71.0,179.0,73.03846153846153,264.6977960169689,5625,0.0,0.0
14,12760,23,73,80,1706,1.0,4.0,3.0,72.0,159.0,62.15384615384615,169.40658945086008,5329,0.0,13436.0
15,12761,19,52,70,1356,1.0,3.0,2.0,70.0,154.0,47.65384615384615,1.5625,2704,0.0,0.0
16,12762,32,72,72,1575,1.0,3.0,2.0,74.0,194.0,56.84615384615385,135.52527156068805,5184,0.0,0.0
17,12763,25,69,72,1860,1.0,3.0,3.0,71.0,170.0,65.0,69.38893903907228,4761,0.0,0.0
18,12764,27,74,74,1496,1.0,2.0,2.0,73.0,201.0,56.69230769230769,211.75823681357508,5476,0.0,0.0
19,12765,27,61,63,1358,1.0,2.0,2.0,76.0,185.0,47.88461538461539,11.641532182693481,3721,0.0,0.0
20,12766,32,67,67,1689,1.0,2.0,2.0,76.0,192.0,63.07692307692308,44.40892098500626,4489,0.0,0.0
21,12767,24,65,69,1404,1.0,3.0,2.0,71.0,174.0,52.80769230769231,28.421709430404007,4225,0.0,0.0
22,12768,24,67,73,1134,1.0,2.0,1.0,76.0,194.0,0.0,44.40892098500626,4489,0.0,0.0
23,12769,24,65,69,1541,1.0,2.0,3.0,73.0,187.0,53.46153846153846,28.421709430404007,4225,0.0,7842.0
24,12770,18,59,75,1511,1.0,3.0,2.0,70.0,172.0,54.0,7.450580596923828,3481,270.0,0.0
25,12771,29,75,75,1914,1.0,4.0,4.0,73.0,152.0,67.07692307692308,264.6977960169689,5625,0.0,0.0
26,12772,19,53,64,1219,1.0,3.0,2.0,72.0,159.0,40.19230769230769,1.953125,2809,0.0,0.0
27,12773,22,74,78,1915,1.0,4.0,4.0,69.0,148.0,68.53846153846153,211.75823681357508,5476,0.0,0.0
28,12774,29,70,70,1907,1.0,4.0,3.0,70.0,161.0,66.84615384615384,86.73617379884035,4900,0.0,0.0
29,12775,25,71,72,1849,1.0,3.0,3.0,69.0,157.0,64.46153846153847,108.42021724855044,5041,0.0,0.0
