,Ob,WageNew,Age,Overall,Potential,Special,International Reputation,Weak Foot,Skill Moves,Height,Weight,Positions Average,Exponential Term,Quadratic Term,Top 20 Clubs,Average Club Wages
0,1,26735,25,77,80,1971,2.0,3.0,2.0,72.0,183.0,68.61538461538461,413.59030627651384,5929,0.0,14316.0
1,2,3709,22,58,67,1510,1.0,3.0,2.0,70.0,132.0,55.0,5.9604644775390625,3364,0.0,0.0
2,3,4720,29,66,66,1356,1.0,3.0,2.0,75.0,183.0,48.38461538461539,35.52713678800501,4356,0.0,0.0
3,4,31062,24,71,73,1824,1.0,3.0,3.0,71.0,152.0,65.38461538461539,108.42021724855044,5041,0.0,0.0
4,5,43797,26,80,84,1847,2.0,2.0,2.0,72.0,172.0,66.8076923076923,807.7935669463161,6400,0.0,72395.0
5,6,7005,30,67,67,1785,1.0,3.0,3.0,71.0,176.0,65.15384615384616,44.40892098500626,4489,0.0,41214.0
6,7,4331,19,61,75,1471,1.0,2.0,2.0,72.0,159.0,52.96153846153846,11.641532182693481,3721,0.0,0.0
7,8,5997,32,67,67,1795,1.0,3.0,3.0,67.0,148.0,64.38461538461539,44.40892098500626,4489,0.0,0.0
8,9,432,26,75,75,1815,1.0,3.0,4.0,70.0,165.0,65.96153846153847,264.6977960169689,5625,0.0,0.0
9,10,29925,21,74,82,1989,2.0,3.0,3.0,72.0,163.0,73.03846153846153,211.75823681357508,5476,0.0,0.0
10,11,1687,20,60,69,1661,1.0,3.0,2.0,74.0,176.0,61.23076923076923,9.313225746154785,3600,0.0,0.0
11,12,2381,36,72,72,1933,1.0,3.0,2.0,72.0,159.0,69.23076923076923,135.52527156068805,5184,0.0,0.0
12,13,3751,31,67,67,1835,1.0,3.0,3.0,70.0,148.0,65.11538461538461,44.40892098500626,4489,0.0,10667.0
13,14,3647,19,56,73,1399,1.0,3.0,3.0,71.0,161.0,49.0,3.814697265625,3136,0.0,0.0
14,15,86383,27,77,77,2041,2.0,3.0,4.0,70.0,165.0,75.5,413.59030627651384,5929,161.0,0.0
15,16,1477,18,66,81,1628,1.0,3.0,3.0,75.0,165.0,61.53846153846154,35.52713678800501,4356,0.0,0.0
16,17,2424,30,59,59,1332,1.0,3.0,2.0,74.0,183.0,46.15384615384615,7.450580596923828,3481,0.0,0.0
17,18,1702,21,63,73,1574,1.0,3.0,2.0,71.0,154.0,58.03846153846154,18.189894035458565,3969,0.0,5045.0
18,19,24387,24,70,75,1760,1.0,3.0,2.0,71.0,148.0,63.5,86.73617379884035,4900,0.0,0.0
19,20,1471,21,61,70,1604,1.0,3.0,2.0,69.0,154.0,57.0,11.641532182693481,3721,0.0,0.0
20,21,23040,27,72,75,1941,1.0,3.0,3.0,72.0,172.0,69.53846153846153,135.52527156068805,5184,0.0,0.0
21,22,3513,26,64,66,1352,1.0,2.0,2.0,73.0,183.0,48.30769230769231,22.737367544323206,4096,0.0,5326.0
22,23,4841,36,68,68,1864,2.0,4.0,3.0,66.0,143.0,66.65384615384616,55.51115123125783,4624,0.0,0.0
23,24,1425,31,61,61,1542,1.0,3.0,2.0,73.0,174.0,53.57692307692308,11.641532182693481,3721,0.0,0.0
24,25,1361,21,68,79,1823,1.0,3.0,3.0,71.0,154.0,66.1923076923077,55.51115123125783,4624,0.0,0.0
25,26,2867,24,63,66,1710,1.0,4.0,2.0,70.0,163.0,59.96153846153846,18.189894035458565,3969,0.0,9373.0
26,27,3708,23,65,72,1808,1.0,3.0,3.0,68.0,159.0,65.88461538461539,28.421709430404007,4225,0.0,0.0
27,28,23184,28,69,69,1801,1.0,5.0,3.0,69.0,170.0,66.8076923076923,69.38893903907228,4761,0.0,0.0
28,29,1833,27,63,64,1072,1.0,3.0,1.0,71.0,190.0,0.0,18.189894035458565,3969,0.0,0.0
29,30,1257,21,56,66,1367,1.0,3.0,2.0,70.0,154.0,47.61538461538461,3.814697265625,3136,0.0,0.0
30,31,5497,24,67,74,1854,1.0,2.0,3.0,70.0,141.0,65.57692307692308,44.40892098500626,4489,0.0,0.0
31,32,4919,26,66,69,1481,1.0,3.0,2.0,74.0,172.0,54.38461538461539,35.52713678800501,4356,0.0,0.0
32,33,4896,33,63,63,1561,1.0,3.0,2.0,75.0,174.0,54.11538461538461,18.189894035458565,3969,0.0,0.0
33,34,1655,29,64,64,1588,1.0,4.0,3.0,70.0,165.0,57.42307692307692,22.737367544323206,4096,0.0,0.0
34,35,3498,20,68,77,1402,1.0,2.0,2.0,76.0,196.0,51.38461538461539,55.51115123125783,4624,0.0,0.0
35,36,5987,22,67,74,1662,1.0,3.0,3.0,69.0,150.0,60.61538461538461,44.40892098500626,4489,0.0,70255.0
36,37,27645,32,73,73,1508,2.0,2.0,2.0,75.0,203.0,56.53846153846154,169.40658945086008,5329,0.0,23027.0
37,38,1898,26,58,61,1406,1.0,3.0,2.0,77.0,192.0,49.53846153846154,5.9604644775390625,3364,0.0,0.0
38,39,16130,26,73,73,1898,1.0,3.0,3.0,69.0,163.0,68.3076923076923,169.40658945086008,5329,0.0,0.0
39,40,3789,32,64,64,1516,1.0,3.0,2.0,78.0,207.0,53.80769230769231,22.737367544323206,4096,0.0,0.0
40,41,5048,22,68,76,1745,1.0,4.0,3.0,72.0,159.0,65.96153846153847,55.51115123125783,4624,0.0,0.0
41,42,7077,25,69,72,1432,1.0,2.0,2.0,74.0,165.0,55.92307692307692,69.38893903907228,4761,0.0,0.0
42,43,2807,17,60,75,1356,1.0,3.0,2.0,71.0,154.0,46.73076923076923,9.313225746154785,3600,0.0,0.0
43,44,1785,21,55,67,1454,1.0,3.0,2.0,69.0,154.0,53.42307692307692,3.0517578125,3025,0.0,0.0
44,45,2302,25,59,62,1596,1.0,3.0,2.0,70.0,161.0,57.26923076923077,7.450580596923828,3481,0.0,0.0
45,46,40616,26,71,72,1837,1.0,3.0,3.0,67.0,143.0,63.69230769230769,108.42021724855044,5041,0.0,43711.0
46,47,2876,32,64,64,1624,1.0,3.0,3.0,71.0,165.0,56.11538461538461,22.737367544323206,4096,0.0,2571.0
47,48,4905,33,69,69,1623,1.0,3.0,2.0,72.0,183.0,61.0,69.38893903907228,4761,0.0,0.0
48,49,2686,26,67,71,1644,1.0,4.0,2.0,76.0,198.0,57.38461538461539,44.40892098500626,4489,0.0,0.0
49,50,3265,25,66,70,1512,1.0,2.0,2.0,74.0,187.0,55.65384615384615,35.52713678800501,4356,0.0,0.0
50,51,1263,23,65,71,1094,1.0,3.0,1.0,74.0,161.0,0.0,28.421709430404007,4225,0.0,0.0
51,52,23780,28,75,75,1932,1.0,3.0,2.0,67.0,143.0,69.07692307692308,264.6977960169689,5625,0.0,0.0
52,53,18274,28,71,71,1840,1.0,4.0,3.0,68.0,157.0,63.53846153846154,108.42021724855044,5041,0.0,0.0
53,54,35685,26,73,74,1822,1.0,3.0,3.0,73.0,159.0,68.03846153846153,169.40658945086008,5329,0.0,0.0
54,55,1617,21,62,72,1576,1.0,3.0,2.0,69.0,154.0,57.34615384615385,14.551915228366852,3844,0.0,0.0
